"_id","_labels","containsMeat","hasCleanedName","hasEntryInRecipe","iri","label","name","url","wasDerivedFromURL","_start","_end","_type"
,,,,,,,,,,"17","18","http://underlay.org/ns/Ingredient/matchesFoodONEntity"
,,,,,,,,,,"2","19","http://underlay.org/ns/hasIngredient"
,,,,,,,,,,"19","20","http://underlay.org/ns/Ingredient/matchesFoodONEntity"
,,,,,,,,,,"2","21","http://underlay.org/ns/hasIngredient"
,,,,,,,,,,"21","22","http://underlay.org/ns/Ingredient/matchesFoodONEntity"
,,,,,,,,,,"2","23","http://underlay.org/ns/hasIngredient"
,,,,,,,,,,"23","24","http://underlay.org/ns/Ingredient/matchesFoodONEntity"
,,,,,,,,,,"2","25","http://underlay.org/ns/hasIngredient"
,,,,,,,,,,"25","26","http://underlay.org/ns/Ingredient/matchesFoodONEntity"
,,,,,,,,,,"2","27","http://underlay.org/ns/hasIngredient"
,,,,,,,,,,"27","28","http://underlay.org/ns/Ingredient/matchesFoodONEntity"
,,,,,,,,,,"2","29","http://underlay.org/ns/hasIngredient"
,,,,,,,,,,"29","30","http://underlay.org/ns/Ingredient/matchesFoodONEntity"
,,,,,,,,,,"2","31","http://underlay.org/ns/hasIngredient"
,,,,,,,,,,"31","32","http://underlay.org/ns/Ingredient/matchesFoodONEntity"
,,,,,,,,,,"2","33","http://underlay.org/ns/hasIngredient"
,,,,,,,,,,"33","4","http://underlay.org/ns/Ingredient/matchesFoodONEntity"
,,,,,,,,,,"2","34","http://underlay.org/ns/hasIngredient"
,,,,,,,,,,"34","6","http://underlay.org/ns/Ingredient/matchesFoodONEntity"
,,,,,,,,,,"2","35","http://underlay.org/ns/hasIngredient"
,,,,,,,,,,"35","8","http://underlay.org/ns/Ingredient/matchesFoodONEntity"
,,,,,,,,,,"2","36","http://underlay.org/ns/hasIngredient"
,,,,,,,,,,"36","10","http://underlay.org/ns/Ingredient/matchesFoodONEntity"
,,,,,,,,,,"2","37","http://underlay.org/ns/hasIngredient"
,,,,,,,,,,"37","12","http://underlay.org/ns/Ingredient/matchesFoodONEntity"
,,,,,,,,,,"2","38","http://underlay.org/ns/hasIngredient"
,,,,,,,,,,"38","14","http://underlay.org/ns/Ingredient/matchesFoodONEntity"
,,,,,,,,,,"2","39","http://underlay.org/ns/hasIngredient"
,,,,,,,,,,"39","16","http://underlay.org/ns/Ingredient/matchesFoodONEntity"
,,,,,,,,,,"2","40","http://underlay.org/ns/hasIngredient"
,,,,,,,,,,"40","18","http://underlay.org/ns/Ingredient/matchesFoodONEntity"
,,,,,,,,,,"2","41","http://underlay.org/ns/hasIngredient"
,,,,,,,,,,"41","20","http://underlay.org/ns/Ingredient/matchesFoodONEntity"
,,,,,,,,,,"2","42","http://underlay.org/ns/hasIngredient"
,,,,,,,,,,"42","22","http://underlay.org/ns/Ingredient/matchesFoodONEntity"
,,,,,,,,,,"2","43","http://underlay.org/ns/hasIngredient"
,,,,,,,,,,"43","24","http://underlay.org/ns/Ingredient/matchesFoodONEntity"
,,,,,,,,,,"2","44","http://underlay.org/ns/hasIngredient"
,,,,,,,,,,"44","26","http://underlay.org/ns/Ingredient/matchesFoodONEntity"
,,,,,,,,,,"2","45","http://underlay.org/ns/hasIngredient"
,,,,,,,,,,"45","28","http://underlay.org/ns/Ingredient/matchesFoodONEntity"
,,,,,,,,,,"2","46","http://underlay.org/ns/hasIngredient"
,,,,,,,,,,"46","30","http://underlay.org/ns/Ingredient/matchesFoodONEntity"
,,,,,,,,,,"2","47","http://underlay.org/ns/hasIngredient"
,,,,,,,,,,"47","32","http://underlay.org/ns/Ingredient/matchesFoodONEntity"
