75,http://purl.obolibrary.org/obo/FOODON_03306075,jalapeno jelly
76,http://purl.obolibrary.org/obo/FOODON_00003249,pancetta
77,http://purl.obolibrary.org/obo/FOODON_03301862,celery seed
78,http://purl.obolibrary.org/obo/FOODON_03430100,"divided into pieces, thickness <0.3 cm."
79,http://purl.obolibrary.org/obo/FOODON_03311007,pork shoulder (raw)
80,http://purl.obolibrary.org/obo/FOODON_00002601,Riesling wine
81,http://purl.obolibrary.org/obo/FOODON_03316892,vegetable puree
82,http://purl.obolibrary.org/obo/FOODON_03301455,tomato paste
83,http://purl.obolibrary.org/obo/FOODON_03302091,beef broth
84,http://purl.obolibrary.org/obo/FOODON_03301173,bay leaf (dried)
85,http://purl.obolibrary.org/obo/FOODON_03301528,nutmeg seed (ground)
86,http://purl.obolibrary.org/obo/FOODON_03306124,lasagna noodle
87,http://purl.obolibrary.org/obo/FOODON_00003247,parmesan cheese
88,http://purl.obolibrary.org/obo/FOODON_03311532,potatoes gratiné (dish)
89,http://purl.obolibrary.org/obo/FOODON_00003108,"barley grain (whole, raw)"
90,http://purl.obolibrary.org/obo/FOODON_03305003,worcestershire sauce
91,http://purl.obolibrary.org/obo/FOODON_00003044,basil food product
92,http://purl.obolibrary.org/obo/FOODON_03309964,poultry seasoning (dry)
93,http://purl.obolibrary.org/obo/FOODON_00002312,thyme food product
94,http://purl.obolibrary.org/obo/FOODON_00003364,"chicken breast (skinless, boneless)"
95,http://purl.obolibrary.org/obo/FOODON_03309857,peanut oil
96,http://purl.obolibrary.org/obo/FOODON_00002718,ginger root
97,http://purl.obolibrary.org/obo/FOODON_00003024,"cumin seed (whole, dried)"
98,http://purl.obolibrary.org/obo/FOODON_00003020,turmeric extract
99,http://purl.obolibrary.org/obo/FOODON_03301175,cinnamon
100,http://purl.obolibrary.org/obo/FOODON_03303004,chicken broth
101,http://purl.obolibrary.org/obo/FOODON_00003445,sweet potato (whole)
102,http://purl.obolibrary.org/obo/FOODON_03411385,collard plant
103,http://purl.obolibrary.org/obo/FOODON_00003013,bell pepper food product
104,http://purl.obolibrary.org/obo/FOODON_03306867,peanut butter
105,http://purl.obolibrary.org/obo/FOODON_03541181,11810 - peanuts (efsa foodex2)
106,http://purl.obolibrary.org/obo/FOODON_03301946,baked beans (dish)
107,http://purl.obolibrary.org/obo/FOODON_03401754,10006192 - flat sweet peppers (tomato peppers) (gs1 gpc)
108,http://purl.obolibrary.org/obo/FOODON_03311145,corn (roasted)
109,http://purl.obolibrary.org/obo/FOODON_00002695,scallion food product
110,http://purl.obolibrary.org/obo/FOODON_03301844,garlic powder
111,http://purl.obolibrary.org/obo/FOODON_03301845,onion powder
112,http://purl.obolibrary.org/obo/FOODON_03315872,cayenne pepper (dried)
113,http://purl.obolibrary.org/obo/FOODON_03301944,raisin bread
114,http://purl.obolibrary.org/obo/FOODON_03305231,romano cheese (pecorino-style)
115,http://purl.obolibrary.org/obo/FOODON_03420194,egg or egg component
116,http://purl.obolibrary.org/obo/FOODON_03310840,"beef (raw, lean)"
117,http://purl.obolibrary.org/obo/FOODON_03312045,wheat dough (refrigerated)
118,http://purl.obolibrary.org/obo/FOODON_03306786,pizza sauce
119,http://purl.obolibrary.org/obo/FOODON_03303578,mozzarella cheese
120,http://purl.obolibrary.org/obo/FOODON_03311003,pepperoni
121,http://purl.obolibrary.org/obo/FOODON_03311141,beef chuck (roast cooked)
122,http://purl.obolibrary.org/obo/FOODON_03301460,tomato catsup
123,http://purl.obolibrary.org/obo/FOODON_00001230,mustard food product
124,http://purl.obolibrary.org/obo/FOODON_03317327,pizza crust
125,http://purl.obolibrary.org/obo/FOODON_03304590,cheddar cheese (sharp)
126,http://purl.obolibrary.org/obo/FOODON_03306757,dill pickle
127,http://purl.obolibrary.org/obo/FOODON_00003423,lettuce leaf (anatomical)
128,http://purl.obolibrary.org/obo/FOODON_03301433,chicken-flavored bouillon cube
129,http://purl.obolibrary.org/obo/FOODON_03301482,oregano (ground)
130,http://purl.obolibrary.org/obo/FOODON_03316455,tea extract (cold-water soluble)
131,http://purl.obolibrary.org/obo/FOODON_03305805,cornstarch (artificially flavored and colored)
132,http://purl.obolibrary.org/obo/FOODON_00002637,linguine
133,http://purl.obolibrary.org/obo/FOODON_03305428,lemon juice
134,http://purl.obolibrary.org/obo/FOODON_00003284,lemon zest
135,http://purl.obolibrary.org/obo/FOODON_03302630,"butternut (whole, raw)"
136,http://purl.obolibrary.org/obo/FOODON_03307242,"parsnip (whole, raw)"
137,http://purl.obolibrary.org/obo/FOODON_00003516,red onion (whole)
138,http://purl.obolibrary.org/obo/FOODON_00002212,rosemary food product
139,http://purl.obolibrary.org/obo/FOODON_03544059,40590 - sea salt (efsa foodex2)
140,http://purl.obolibrary.org/obo/FOODON_03310273,white wine
141,http://purl.obolibrary.org/obo/UBERON_0036016,honey
142,http://purl.obolibrary.org/obo/FOODON_00002684,mustard greens
143,http://purl.obolibrary.org/obo/FOODON_03306347,pasta
144,http://purl.obolibrary.org/obo/FOODON_03307543,potato starch
145,http://purl.obolibrary.org/obo/FOODON_03302458,cheddar cheese
146,http://purl.obolibrary.org/obo/FOODON_00003255,mascarpone
147,http://purl.obolibrary.org/obo/FOODON_03304006,hot sauce
148,http://purl.obolibrary.org/obo/FOODON_03306533,tomato catsup with mushrooms
149,http://purl.obolibrary.org/obo/FOODON_03301960,bacon (canned)
150,http://purl.obolibrary.org/obo/FOODON_03303659,swiss cheese
151,http://purl.obolibrary.org/obo/FOODON_00001811,dill food product
152,http://purl.obolibrary.org/obo/FOODON_03306655,puff pastry shortening
153,http://purl.obolibrary.org/obo/FOODON_03306773,pie crust
